ticker,issuer,expense_ratio,aum,spread,asset_class,strategy,region,category,focus,niche,inverse,leveraged,etn,index_prov,selection,weight_schm,act_p_sec
SPY,1,0.09,2.39E+11,0,1,1,1,1,1,1,1,1,1,1,1,1,1
IVV,2,0.04,1.27E+11,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1
VTI,3,0.04,83370000000,0.01,1,1,1,1,2,1,1,1,1,2,2,1,1
EFA,2,0.33,80050000000,0.01,1,1,2,1,2,1,1,1,1,3,2,1,1
VOO,3,0.04,73230000000,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1
VWO,3,0.14,63950000000,0.02,1,1,3,1,2,1,1,1,1,4,2,1,1
VEA,3,0.07,62000000000,0.02,1,1,2,1,2,1,1,1,1,4,2,1,1
QQQ,4,0.2,52200000000,0.01,1,2,1,1,1,1,1,1,1,5,3,2,1
AGG,2,0.05,50280000000,0.01,2,1,1,2,3,2,1,1,1,6,4,3,1
IJH,2,0.07,39290000000,0.02,1,1,1,1,4,1,1,1,1,1,1,1,1
IWM,2,0.2,38520000000,0.01,1,1,1,1,5,1,1,1,1,7,2,1,1
IEMG,2,0.14,37860000000,0.02,1,1,3,1,2,1,1,1,1,3,2,1,1
LQD,2,0.15,37440000000,0.01,2,1,1,3,3,2,1,1,1,8,4,3,1
IWF,2,0.2,36740000000,0.01,1,3,1,1,1,3,1,1,1,7,5,4,1
EEM,2,0.7,36440000000,0.02,1,1,3,1,2,1,1,1,1,3,2,1,1
IWD,2,0.2,36310000000,0.01,1,4,1,1,1,4,1,1,1,7,5,4,1
GLD,1,0.4,35890000000,0.01,3,1,4,4,6,5,1,1,1,9,6,5,1
BND,3,0.05,35730000000,0.01,2,1,1,2,3,2,1,1,1,6,4,3,1
VNQ,3,0.12,35120000000,0.01,1,1,1,5,7,1,1,1,1,3,2,1,1
IEFA,2,0.08,35080000000,0.02,1,1,2,1,2,1,1,1,1,3,2,1,1
VTV,3,0.06,33150000000,0.01,1,4,1,1,1,4,1,1,1,2,5,4,1
IJR,2,0.07,31580000000,0.02,1,1,1,1,5,1,1,1,1,1,1,1,1
VUG,3,0.06,29350000000,0.03,1,3,1,1,1,3,1,1,1,2,5,4,1
VIG,3,0.08,25180000000,0.01,1,5,1,1,2,1,1,1,1,5,7,1,1
XLF,1,0.14,25060000000,0.04,1,1,1,5,8,1,1,1,1,1,1,1,1
TIP,2,0.2,23550000000,0.01,2,1,1,6,9,2,1,1,1,6,4,3,1
BSV,3,0.07,22810000000,0.01,2,1,1,7,3,6,1,1,1,6,4,3,1
VCSH,3,0.07,20950000000,0.01,2,1,1,3,3,6,1,1,1,6,4,3,1
VEU,3,0.11,20540000000,0.02,1,1,5,1,2,1,1,1,1,4,2,1,1
VO,3,0.06,20260000000,0.04,1,1,1,1,4,1,1,1,1,2,2,1,1
VB,3,0.06,19580000000,0.05,1,1,1,1,5,1,1,1,1,2,2,1,1
VYM,3,0.08,19360000000,0.01,1,5,1,8,10,1,1,1,1,4,7,1,1
IVW,2,0.18,19290000000,0.02,1,3,1,1,1,3,1,1,1,1,8,1,1
IWB,2,0.15,19240000000,0.01,1,1,1,1,1,1,1,1,1,7,2,1,1
PFF,2,0.47,18540000000,0.03,2,1,1,3,11,2,1,1,1,1,1,3,1
HYG,2,0.49,18490000000,0.01,2,1,1,3,12,2,1,1,1,8,4,3,1
XLV,1,0.14,18130000000,0.01,1,1,1,5,13,1,1,1,1,1,1,1,1
MDY,1,0.25,18060000000,0.01,1,1,1,1,4,1,1,1,1,1,1,1,1
DIA,1,0.17,18000000000,0.01,1,6,1,1,1,1,1,1,1,10,1,6,1
XLK,1,0.14,17650000000,0.02,1,1,1,5,14,1,1,1,1,1,1,1,1
VGK,3,0.1,17610000000,0.02,1,1,6,1,2,1,1,1,1,4,2,1,1
VCIT,3,0.07,17110000000,0.02,2,1,1,3,3,7,1,1,1,6,4,3,1
DVY,2,0.39,17100000000,0.01,1,5,1,8,10,1,1,1,1,10,7,7,1
EWJ,2,0.48,15980000000,0.02,1,1,7,1,2,1,1,1,1,3,2,1,1
XLE,1,0.14,15910000000,0.02,1,1,1,5,15,1,1,1,1,1,1,1,1
SDY,1,0.35,15590000000,0.01,1,5,1,8,10,1,1,1,1,1,7,7,1
IWR,2,0.2,15590000000,0.04,1,1,1,1,4,1,1,1,1,7,2,1,1
VGT,3,0.1,14670000000,0.03,1,1,1,5,14,1,1,1,1,3,2,1,1
BIV,3,0.07,14550000000,0.04,2,1,1,7,3,7,1,1,1,6,4,3,1
USMV,2,0.15,14060000000,0.02,1,7,1,1,2,1,1,1,1,3,5,4,1
IVE,2,0.18,13710000000,0.01,1,4,1,1,1,4,1,1,1,1,8,1,1
EZU,2,0.48,13690000000,0.02,1,1,6,1,2,1,1,1,1,3,2,1,1
RSP,5,0.2,13600000000,0.01,1,8,1,1,1,1,1,1,1,1,1,8,1
JNK,1,0.4,12260000000,0.03,2,1,1,3,12,2,1,1,1,6,4,3,1
EMB,2,0.39,12000000000,0.01,2,1,3,9,16,2,1,1,1,11,9,2,1
CSJ,2,0.2,11950000000,0.01,2,1,1,3,3,6,1,1,1,6,4,3,1
SCHF,6,0.06,11770000000,0.03,1,1,2,1,2,1,1,1,1,4,2,1,1
XLY,1,0.14,11670000000,0.01,1,1,1,5,17,1,1,1,1,1,1,1,1
VBR,3,0.07,11670000000,0.06,1,4,1,1,5,4,1,1,1,2,5,4,1
SHY,2,0.15,11160000000,0.01,2,1,1,6,18,6,1,1,1,12,4,3,1
MBB,2,0.09,11010000000,0.02,2,1,1,6,19,2,1,1,1,6,4,3,1
ITOT,2,0.03,10850000000,0.03,1,1,1,1,2,1,1,1,1,1,1,1,1
XLI,1,0.14,10440000000,0.01,1,1,1,5,20,1,1,1,1,1,1,1,1
SCHB,6,0.03,10400000000,0.03,1,1,1,1,2,1,1,1,1,10,2,1,1
VV,3,0.06,10170000000,0.03,1,1,1,1,1,1,1,1,1,2,2,1,1
SCHX,6,0.03,10020000000,0.02,1,1,1,1,1,1,1,1,1,10,2,1,1
AMLP,7,1.42,9990000000,0.09,1,5,1,5,15,8,1,1,1,13,10,1,1
TLT,2,0.15,9920000000,0.01,2,1,1,6,18,9,1,1,1,12,4,3,1
IBB,2,0.47,9770000000,0.06,1,2,1,5,13,10,1,1,1,5,3,1,1
IWS,2,0.25,9710000000,0.04,1,4,1,1,4,4,1,1,1,7,5,4,1
XLP,1,0.14,9600000000,0.02,1,1,1,5,21,1,1,1,1,1,1,1,1
IAU,2,0.25,9410000000,0.08,3,1,4,4,6,5,1,1,1,9,6,5,1
VXUS,3,0.11,9300000000,0.03,1,1,5,1,2,1,1,1,1,4,2,1,1
SCZ,2,0.4,9300000000,0.02,1,1,2,1,5,1,1,1,1,3,2,1,1
VT,3,0.11,9160000000,0.01,1,1,4,1,2,1,1,1,1,4,2,1,1
HEDJ,8,0.58,8910000000,0.02,1,9,6,1,2,1,1,1,1,14,8,7,1
MUB,2,0.25,8850000000,0.01,2,1,1,10,3,2,1,1,1,1,11,3,1
BKLN,4,0.65,8820000000,0.04,2,1,1,3,12,11,1,1,1,1,4,3,1
IWN,2,0.24,8390000000,0.04,1,4,1,1,5,4,1,1,1,7,5,4,1
IWO,2,0.24,8250000000,0.05,1,3,1,1,5,3,1,1,1,7,5,4,1
IEI,2,0.15,8210000000,0.01,2,1,1,6,18,7,1,1,1,12,4,3,1
BNDX,3,0.12,8110000000,0.02,2,10,5,2,3,2,1,1,1,6,4,3,1
DXJ,8,0.48,7910000000,0.02,1,9,7,1,2,1,1,1,1,14,8,7,1
IEF,2,0.15,7900000000,0.01,2,1,1,6,18,7,1,1,1,12,4,3,1
IWV,2,0.2,7830000000,0.02,1,1,1,1,2,1,1,1,1,7,2,1,1
GDX,9,0.51,7760000000,0.04,1,1,4,5,22,12,1,1,1,15,2,1,1
VOE,3,0.07,7700000000,0.04,1,4,1,1,4,4,1,1,1,2,5,4,1
ACWI,2,0.33,7680000000,0.01,1,1,4,1,2,1,1,1,1,3,2,1,1
XLU,1,0.14,7610000000,0.02,1,1,1,5,23,1,1,1,1,1,1,1,1
IWP,2,0.25,7590000000,0.04,1,3,1,1,4,3,1,1,1,7,5,4,1
EFAV,2,0.2,7580000000,0.03,1,7,2,1,2,1,1,1,1,3,5,4,1
MINT,10,0.36,7490000000,0.01,2,11,1,2,3,6,1,1,1,16,12,9,2
IXUS,2,0.11,7410000000,0.04,1,1,5,1,2,1,1,1,1,3,2,1,1
CIU,2,0.2,7250000000,0.02,2,1,1,3,3,7,1,1,1,6,4,3,1
VHT,3,0.1,7120000000,0.04,1,1,1,5,13,1,1,1,1,3,2,1,1
SPLV,4,0.25,7020000000,0.02,1,7,1,1,1,1,1,1,1,1,13,10,1
EWZ,2,0.63,7010000000,0.03,1,1,8,1,2,1,1,1,1,3,2,1,1
DBEF,11,0.35,6890000000,0.03,1,10,2,1,2,1,1,1,1,3,2,1,1
IJK,2,0.25,6850000000,0.06,1,3,1,1,4,3,1,1,1,1,8,1,1
