ticker,FUND_EXPENSE_RATIO,FUND_ASSETS_USD,AVERAGE_BID_ASK_SPREAD,FUND_LEVERAGE,INVERSE_FUND_INDICATOR,ACTIVELY_MANAGED,ID_BB_ULTIMATE_PARENT_CO_NAME,FUND_ASSET_CLASS_FOCUS,FUND_STRATEGY,STYLE_ANALYSIS_REGION_FOCUS,FUND_MKT_CAP_FOCUS,FUND_TYP,FUND_STRATEGY,INDEX_WEIGHTING_METHODOLOGY,REBALANCING_FREQUENCY
SPY,0.0945,264644.2188,0.003743953,N,N,N,State Street Corp,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Monthly
IVV,0.04,178306.4063,0.007538009,N,N,N,BlackRock Inc,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
VTI,0.03,113316.8359,0.014706277,N,N,N,Vanguard Group Inc/The,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Quarterly
EFA,0.32,62664.48828,0.015258728,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
VOO,0.03,112331.9453,0.009464121,N,N,N,Vanguard Group Inc/The,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
VWO,0.12,63151.34375,0.024322914,N,N,N,Vanguard Group Inc/The,Equity,Blend,Emerging Market,Broad Market,ETF,Blend,Market Cap,Quarterly
VEA,0.05,71831.32031,0.024345933,N,N,N,Vanguard Group Inc/The,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
QQQ,0.2,71718.33594,0.005802669,N,N,N,Invesco Ltd,Equity,Growth,North America,Large-cap,ETF,Growth,Market Cap,Quarterly
AGG,0.05,63011.97656,0.009090791,N,N,N,BlackRock Inc,Fixed Income,Aggregate,#N/A N/A,#N/A N/A,ETF,Aggregate,Market Cap,Monthly
IJH,0.07,48870.17188,0.018411803,N,N,N,BlackRock Inc,Equity,Blend,North America,Mid-cap,ETF,Blend,Market Cap,Quarterly
IWM,0.19,40999.98047,0.007055021,N,N,N,BlackRock Inc,Equity,Blend,North America,Small-cap,ETF,Blend,Market Cap,Quarterly
IEMG,0.14,58023.13672,0.020013093,N,N,N,BlackRock Inc,Equity,Blend,Emerging Market,Large-cap,ETF,Blend,Market Cap,Semi-Annually
LQD,0.15,33343.67578,0.008360758,N,N,N,BlackRock Inc,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Market Cap,Monthly
IWF,0.2,43787.32031,0.017412082,N,N,N,BlackRock Inc,Equity,Growth,North America,Large-cap,ETF,Growth,Market Cap,Yearly
