,dim0_KK1,dim0_KK2,dim0_KK3,dim0_KK4,dim0_KK5,,,
AADR,0.01496994,0.005513369,0.005278884,0.005237527,0.002956925,0.0000179,0,0
AAXJ,0.01496994,0.001036676,0.000850098,0.000846972,0.000819683,0.0000037,0,0
ACWI,0.01496994,0.000354456,0.00017906,0.000178572,0.000139245,0.00000427,0,0
ACWX,0.01496994,0.0005522,0.000323509,0.0003192,0.000294163,0.00000301,0,0
ADRA,0.01496994,0.004280529,0.00358348,0.003343879,0.00322554,0.000015,0,0
ADRD,0.01496994,0.001336181,0.000743789,0.000713752,0.00055457,0.00000182,0,0
ADRE,0.01496994,0.002004711,0.000676714,0.000644333,0.000615607,0.00000901,0.00000063,0.000000233
ADRU,0.01496994,0.00242084,0.001905436,0.00178677,0.001634332,0.00000567,0,0
AFK,0.01496994,0.006424021,0.006343632,0.003538351,0.003348842,0.0000161,0.000000267,0
AGG,0.01496994,0.000255519,0.000144668,0.000127534,0.000104484,0.00000237,0.000000149,0
AGQ,0.01496994,0.01496994,0.01496994,0.007790533,0.004016324,0.0000533,0,0
AGZ,0.01496994,0.000151958,0.00011509,0.0000826,0.0000673,0.000000259,0,0
AIA,0.01496994,0.002236606,0.001881874,0.001847106,0.001696562,0.0000701,0.00000176,0
AMJ,0.01496994,0.011185592,0.008606902,0.005590208,0.005066476,0.00000516,0,0
AOA,0.01496994,0.000393945,0.000277574,0.000261064,0.000103195,0.00000118,0,0
AOK,0.01496994,0.00017957,0.000103062,0.0000818,0.0000765,0.000000705,0,0
AOM,0.01496994,0.000525841,0.000211065,0.000184231,0.000181049,0.00000535,5.55E-08,0
AOR,0.01496994,0.000404748,0.000148219,0.000140712,0.000123734,0.00000148,0,0
AUSE,0.01496994,0.009460206,0.006927585,0.006006119,0.005211277,0.000114541,0.000018,0
AXJL,0.01496994,0.001909642,0.000984285,0.000983419,0.000898092,0.0000042,0,0
BAB,0.01496994,0.003908499,0.00217952,0.001631713,0.001108596,0.0000016,0,0
BAL,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0,0,0
BDD,0.01496994,0.010975106,0.009154625,0.007081261,0.006887867,0.0000754,0,0
