,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20
AADR,-0.024321807,-0.008626789,0.027854619,-0.00477144,0.001476317,-0.007477187,-0.0027441,0.020162824,-0.016382756,0.009271494,-0.013464429,-0.016953739,-0.02889453,-0.003393991,-0.02000652,-0.01599857,-0.017501079,-0.029680049,0.000788087,-0.001827688
AAXJ,-0.03326892,-0.020434938,0.055569365,0.02881279,-0.022525021,0.015634948,-0.026521582,-0.00417787,0.003539859,0.002914525,0.021229459,-0.009610258,-0.001073249,0.009861272,0.010617592,0.01807422,0.002978521,-0.0133198,0.023206303,0.023832852
ACWI,-0.032827271,0.002933192,0.007610879,-0.003553758,-0.004666343,-0.022158082,0.007596695,0.004068426,-0.026279589,0.009482274,0.007743258,-0.002156192,0.001634304,0.005467965,-0.001403863,0.002879175,-0.004278737,0.003076245,0.010523894,0.002781329
ACWX,-0.03560632,-0.007613002,0.02080105,0.000657432,-0.011756973,-0.031302484,0.021651157,0.001383995,-0.038047838,0.00356113,0.00262114,0.001156785,0.006637156,0.012063555,0.009401573,-0.009199611,-0.00307389,-0.017692845,0.01060948,0.003266718
ADRA,-0.032086488,-0.000203897,0.020980638,0.00877237,-0.013517649,-0.00174618,0.009351738,0.003184049,-0.023725524,0.002651571,0.002311509,0.010701837,0.009001122,-0.022510145,-0.001456499,-0.012735629,0.015981791,-0.010451664,0.014734495,0.009378991
ADRD,-0.034386585,-0.000264588,0.009960926,-0.005390211,-0.008554651,-0.044611682,0.030669982,0.005863876,-0.053159074,0.002838548,-0.010257625,0.008200019,-0.002776015,0.002918064,0.002663802,-0.002966892,0.001551186,-0.023840207,-0.005145667,-0.005710433
ADRE,-0.036689748,-0.023236391,0.047842927,0.016300257,-0.020021409,0.017275852,0.002101367,-0.005805286,-0.001136159,0.009456349,0.006764797,-0.022515485,0.002746376,0.012059795,-0.008998792,-0.006225775,-0.00719491,0.002192221,-0.022812412,-0.000509772
ADRU,-0.034760667,-0.00450392,0.011566957,-0.00109398,-0.010230547,-0.04788757,0.030586492,0.007810633,-0.060167143,0.004339948,-0.017727347,-0.00063288,-0.013053442,-0.000709385,-0.013751159,-0.002624611,0.00404675,-0.026162615,-0.008740453,0.005458971
AFK,-0.028790786,-0.01736992,0.010784453,0.001115599,-0.001226136,0.003545116,0.030542018,0.008902488,0.008053799,0.007599311,-0.012775659,-0.007044653,0.016520462,0.049901982,0.009661447,-0.023731333,0.034053511,0.044607729,-0.010901356,-0.034082125
AGG,0.002132533,-0.004560317,0.007522862,-0.02338867,0.00432146,0.011818908,0.002151535,0.003668384,-0.003623033,-0.001604383,-0.006023228,-0.001123261,0.004237934,0.003461885,0.004434647,0.006808494,-0.000514544,0.002666252,0.003535484,-0.004180402
AGQ,-0.060930685,-0.330345193,-0.090554233,-0.027509646,0.169245161,-0.098928794,-0.117564377,-0.058075454,0.071580309,0.079087322,0.034834473,0.06519698,-0.084802063,-0.067259158,0.136601829,-0.014512078,-0.146919487,0.090907867,0.050608702,-0.080391349
AGZ,0.001252878,-0.002516817,0.004826943,-0.012494723,0.003044377,0.005424888,0.002348107,0.001864092,-0.001837923,-0.001206114,-0.002829747,-0.000472762,0.000456884,0.000864117,-0.000999785,0.007108606,0.002336307,-0.002349003,0.004215743,0.000242834
AIA,-0.033305381,-0.020095275,0.046381942,0.03429949,-0.022243185,0.010564824,-0.019550797,0.000617366,-0.010381864,0.008578203,0.02262369,-0.022219354,-0.010533575,0.022350677,0.019646196,0.028631087,0.001195681,-0.001161273,0.034004566,0.024092598
AMJ,-0.01955974,0.002145815,-0.004829933,-0.032914674,-0.011822006,0.035024264,0.003062383,0.007787295,-0.009599212,0.017260883,-0.008971561,-0.019777477,-0.007347594,-0.006772006,-0.024300605,-0.016848011,-0.001550022,-0.051024267,-0.010790069,-0.048308113
AOA,-0.027183594,0.008704584,0.002043606,-0.010308599,0.005604399,-0.005865291,-0.001458411,0.00115661,-0.006506631,0.002844441,0.000297247,-0.003290896,-0.004076663,0.002390264,0.005480577,0.006348706,-0.000905399,0.000978113,0.003151546,0.00879962
AOK,-0.006818066,-0.000237109,0.005010544,-0.013988111,0.002011032,0.003542736,0.002006925,0.002588532,-0.005891326,0.00158133,-0.003931014,-0.000168029,0.003870924,0.003004974,-0.000738859,0.00530516,0.002139729,0.001742787,0.00258681,-0.003549323
AOM,-0.011639368,0.002377229,0.004094067,-0.013294309,0.002177336,-0.001188528,0.001902463,0.003759985,-0.005543473,0.000903138,-0.003097823,-0.000419556,0.002137538,0.000910568,-0.000416093,0.007160871,0.000437141,0.006287144,0.000662643,-0.000803142
AOR,-0.018442576,0.005543498,0.002033237,-0.011917285,0.004132326,-0.001650924,-0.00104411,0.003606356,-0.006390338,0.001284899,-0.001279389,0.00013503,-0.001980399,0.002339598,-0.000614728,0.00439453,-5.14238E-06,0.002737419,-0.000273172,0.002543277
AUSE,-0.038719512,-0.020365915,0.024344729,-0.013006382,0.001782812,-0.033846918,0.003004821,0.017090122,-0.03167451,-0.020021704,-0.009966286,-0.02084045,-0.011386768,-0.021008427,0.000273015,-0.024962854,-0.013585662,0.002980742,-0.050105263,0.015348909
AXJL,-0.031365599,-0.019443961,0.036145391,0.001939496,-0.022209244,-0.010921216,-0.013842981,0.005278707,-0.00626714,-0.011748123,0.010246681,-0.007959584,-0.010429168,-0.006017407,0.012949571,0.026924126,-0.002222133,-0.007180924,-0.008786163,0.014388823
BAB,0.006699889,-0.008328957,0.018671879,-0.038837011,0.00806141,0.029259551,-0.009932955,0.000853352,-0.017304366,0.001117893,-0.01235616,-0.00165364,0.004266946,0.026572946,0.005691013,0.009267129,-0.013758318,0.039213635,0.006784698,-0.004568908
